"","country","points","price","province","title","variety","winery"
"1","Italy",88,21,"Northeastern Italy","Tramin 2011 Gewürztraminer (Alto Adige)","Gewürztraminer","Tramin"
"2","Italy",92,67,"Piedmont","Paolo Scavino 2012 Monvigliero  (Barolo)","Nebbiolo","Paolo Scavino"
"3","Portugal",92,NA,"Port","Quinta Vale Dona Maria 2011 Late Bottled Vintage  (Port)","Port","Quinta Vale Dona Maria"
"4","New Zealand",89,24,"Waipara","Mountford 2009 Riche Riesling (Waipara)","Riesling","Mountford"
"5","Germany",86,21,"Mosel-Saar-Ruwer","Grans-Fassian 2007 Riesling (Mosel-Saar-Ruwer)","Riesling","Grans-Fassian"
"6","US",85,36,"California","Hunt Cellars 2003 Duets Red (Paso Robles)","Red Blend","Hunt Cellars"
"7","France",86,NA,"Beaujolais","Laurent Gauthier 2013 Rosé (Beaujolais Rosé)","Rosé","Laurent Gauthier"
"8","France",91,26,"Provence","Château Miraval 2015 Rosé (Côtes de Provence)","Rosé","Château Miraval"
"9","US",90,42,"California","Sonoma-Cutrer 2014 Les Pierres Chardonnay (Sonoma Coast)","Chardonnay","Sonoma-Cutrer"
"10","US",90,53,"California","Frank Family 2014 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Frank Family"
"11","Spain",88,38,"Catalonia","Fuentes 2004 Finca El Puig Red (Priorat)","Red Blend","Fuentes"
"12","Italy",92,120,"Veneto","Trabucchi d'Illasi 2004 Riserva Cent'Anni  (Amarone della Valpolicella)","Corvina, Rondinella, Molinara","Trabucchi d'Illasi"
"13","France",86,16,"Bordeaux","Château La Mothe du Barry 2010  Bordeaux Supérieur","Bordeaux-style Red Blend","Château La Mothe du Barry"
"14","US",88,30,"California","J Wilkes 2014 Pinot Noir (Sta. Rita Hills)","Pinot Noir","J Wilkes"
"15","Germany",92,30,"Mosel","Thanisch 2013 Brauneberger Juffer Auslese Riesling (Mosel)","Riesling","Thanisch"
"16","US",89,125,"California","Axios 2009 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Axios"
"17","US",90,40,"California","Truchard 2014 Cabernet Sauvignon (Carneros)","Cabernet Sauvignon","Truchard"
"18","US",89,22,"California","Starmont 2010 Chardonnay (Napa Valley)","Chardonnay","Starmont"
"19","Chile",82,14,"Maipo Valley","Cousiño-Macul 1999 Doña Isidora Riesling (Maipo Valley)","Riesling","Cousiño-Macul"
"20","Italy",90,30,"Tuscany","Montebelli 2005 Acantòs Sangiovese (Toscana)","Sangiovese","Montebelli"
"21","Italy",89,30,"Piedmont","Giulio Accornero e Figli 2007 Bricco Battista  (Barbera del Monferrato Superiore)","Barbera","Giulio Accornero e Figli"
"22","Italy",90,22,"Central Italy","Umani Ronchi 2004 Le Busche White (Marche)","White Blend","Umani Ronchi"
"23","Portugal",90,15,"Duriense","Quinta da Romaneira 2013 R de Romaneira Red (Duriense)","Portuguese Red","Quinta da Romaneira"
"24","Argentina",92,55,"Mendoza Province","Trapiche 2008 Viña Cristina y Bibiana Coletto Single Vineyard Malbec (Mendoza)","Malbec","Trapiche"
"25","France",93,NA,"Bordeaux","Château Giscours 2013  Margaux","Bordeaux-style Red Blend","Château Giscours"
"26","Austria",89,NA,"Burgenland","Schwarz Wein 2014 White (Burgenland)","White Blend","Schwarz Wein"
"27","France",93,70,"Champagne","Pehu-Simonet 2010 Fins Lieux No 1 Millésimé Grand Cru Brut Pinot Noir (Champagne)","Pinot Noir","Pehu-Simonet"
"28","Portugal",90,28,"Alentejo","Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo)","Portuguese Red","Adega Cooperativa de Borba"
"29","France",87,23,"Alsace","Vieil Armand 2015 Tradition Riesling (Alsace)","Riesling","Vieil Armand"
"30","US",88,18,"Washington","Chateau Ste. Michelle 2010 Indian Wells Red (Columbia Valley (WA))","Red Blend","Chateau Ste. Michelle"
